Algoritmo,Cenario,TempoExecucao
Bubble Sort,Cenário 1 - Vetor ordenado crescente,670915
Merge Sort,Cenário 1 - Vetor ordenado crescente,8198
Quick Sort,Cenário 1 - Vetor ordenado crescente,5039
Shell Sort,Cenário 1 - Vetor ordenado crescente,10372
Bubble Sort,Cenário 1 - Vetor ordenado crescente,638903
Merge Sort,Cenário 1 - Vetor ordenado crescente,2990
Quick Sort,Cenário 1 - Vetor ordenado crescente,2907
Shell Sort,Cenário 1 - Vetor ordenado crescente,3821
Bubble Sort,Cenário 1 - Vetor ordenado crescente,557846
Merge Sort,Cenário 1 - Vetor ordenado crescente,2915
Quick Sort,Cenário 1 - Vetor ordenado crescente,2309
Shell Sort,Cenário 1 - Vetor ordenado crescente,3489
Bubble Sort,Cenário 1 - Vetor ordenado crescente,605837
Merge Sort,Cenário 1 - Vetor ordenado crescente,2459
Quick Sort,Cenário 1 - Vetor ordenado crescente,2287
Shell Sort,Cenário 1 - Vetor ordenado crescente,3508
Bubble Sort,Cenário 1 - Vetor ordenado crescente,619657
Merge Sort,Cenário 1 - Vetor ordenado crescente,2475
Quick Sort,Cenário 1 - Vetor ordenado crescente,2283
Shell Sort,Cenário 1 - Vetor ordenado crescente,3524
Bubble Sort,Cenário 1 - Vetor ordenado crescente,605359
Merge Sort,Cenário 1 - Vetor ordenado crescente,2464
Quick Sort,Cenário 1 - Vetor ordenado crescente,2307
Shell Sort,Cenário 1 - Vetor ordenado crescente,3507
Bubble Sort,Cenário 1 - Vetor ordenado crescente,609045
Merge Sort,Cenário 1 - Vetor ordenado crescente,2515
Quick Sort,Cenário 1 - Vetor ordenado crescente,2353
Shell Sort,Cenário 1 - Vetor ordenado crescente,3488
Bubble Sort,Cenário 1 - Vetor ordenado crescente,606805
Merge Sort,Cenário 1 - Vetor ordenado crescente,2461
Quick Sort,Cenário 1 - Vetor ordenado crescente,2286
Shell Sort,Cenário 1 - Vetor ordenado crescente,3510
Bubble Sort,Cenário 1 - Vetor ordenado crescente,631683
Merge Sort,Cenário 1 - Vetor ordenado crescente,2473
Quick Sort,Cenário 1 - Vetor ordenado crescente,2307
Shell Sort,Cenário 1 - Vetor ordenado crescente,3504
Bubble Sort,Cenário 1 - Vetor ordenado crescente,558252
Merge Sort,Cenário 1 - Vetor ordenado crescente,2455
Quick Sort,Cenário 1 - Vetor ordenado crescente,1977
Shell Sort,Cenário 1 - Vetor ordenado crescente,3505
Bubble Sort,Cenário 1 - Vetor ordenado crescente,558847
Merge Sort,Cenário 1 - Vetor ordenado crescente,2453
Quick Sort,Cenário 1 - Vetor ordenado crescente,1847
Shell Sort,Cenário 1 - Vetor ordenado crescente,3507
Bubble Sort,Cenário 1 - Vetor ordenado crescente,552873
Merge Sort,Cenário 1 - Vetor ordenado crescente,2475
Quick Sort,Cenário 1 - Vetor ordenado crescente,1835
Shell Sort,Cenário 1 - Vetor ordenado crescente,3513
Bubble Sort,Cenário 1 - Vetor ordenado crescente,550165
Merge Sort,Cenário 1 - Vetor ordenado crescente,2457
Quick Sort,Cenário 1 - Vetor ordenado crescente,1850
Shell Sort,Cenário 1 - Vetor ordenado crescente,3524
Bubble Sort,Cenário 1 - Vetor ordenado crescente,561051
Merge Sort,Cenário 1 - Vetor ordenado crescente,2454
Quick Sort,Cenário 1 - Vetor ordenado crescente,1858
Shell Sort,Cenário 1 - Vetor ordenado crescente,3561
Bubble Sort,Cenário 1 - Vetor ordenado crescente,552541
Merge Sort,Cenário 1 - Vetor ordenado crescente,2454
Quick Sort,Cenário 1 - Vetor ordenado crescente,1828
Shell Sort,Cenário 1 - Vetor ordenado crescente,3509
Bubble Sort,Cenário 1 - Vetor ordenado crescente,557033
Merge Sort,Cenário 1 - Vetor ordenado crescente,2455
Quick Sort,Cenário 1 - Vetor ordenado crescente,1851
Shell Sort,Cenário 1 - Vetor ordenado crescente,3520
Bubble Sort,Cenário 1 - Vetor ordenado crescente,558177
Merge Sort,Cenário 1 - Vetor ordenado crescente,2458
Quick Sort,Cenário 1 - Vetor ordenado crescente,1962
Shell Sort,Cenário 1 - Vetor ordenado crescente,3551
Bubble Sort,Cenário 1 - Vetor ordenado crescente,553980
Merge Sort,Cenário 1 - Vetor ordenado crescente,2532
Quick Sort,Cenário 1 - Vetor ordenado crescente,1865
Shell Sort,Cenário 1 - Vetor ordenado crescente,3739
Bubble Sort,Cenário 1 - Vetor ordenado crescente,562992
Merge Sort,Cenário 1 - Vetor ordenado crescente,2480
Quick Sort,Cenário 1 - Vetor ordenado crescente,1736
Shell Sort,Cenário 1 - Vetor ordenado crescente,3533
Bubble Sort,Cenário 1 - Vetor ordenado crescente,550989
Merge Sort,Cenário 1 - Vetor ordenado crescente,2453
Quick Sort,Cenário 1 - Vetor ordenado crescente,1727
Shell Sort,Cenário 1 - Vetor ordenado crescente,3512
Bubble Sort,Cenário 1 - Vetor ordenado crescente,558145
Merge Sort,Cenário 1 - Vetor ordenado crescente,2454
Quick Sort,Cenário 1 - Vetor ordenado crescente,1725
Shell Sort,Cenário 1 - Vetor ordenado crescente,3527
Bubble Sort,Cenário 1 - Vetor ordenado crescente,558252
Merge Sort,Cenário 1 - Vetor ordenado crescente,2468
Quick Sort,Cenário 1 - Vetor ordenado crescente,1730
Shell Sort,Cenário 1 - Vetor ordenado crescente,3521
Bubble Sort,Cenário 1 - Vetor ordenado crescente,552671
Merge Sort,Cenário 1 - Vetor ordenado crescente,2508
Quick Sort,Cenário 1 - Vetor ordenado crescente,1754
Shell Sort,Cenário 1 - Vetor ordenado crescente,3574
Bubble Sort,Cenário 1 - Vetor ordenado crescente,562571
Merge Sort,Cenário 1 - Vetor ordenado crescente,2477
Quick Sort,Cenário 1 - Vetor ordenado crescente,1734
Shell Sort,Cenário 1 - Vetor ordenado crescente,3507
Bubble Sort,Cenário 1 - Vetor ordenado crescente,552007
Merge Sort,Cenário 1 - Vetor ordenado crescente,2456
Quick Sort,Cenário 1 - Vetor ordenado crescente,1723
Shell Sort,Cenário 1 - Vetor ordenado crescente,3538
Bubble Sort,Cenário 1 - Vetor ordenado crescente,562229
Merge Sort,Cenário 1 - Vetor ordenado crescente,2477
Quick Sort,Cenário 1 - Vetor ordenado crescente,1726
Shell Sort,Cenário 1 - Vetor ordenado crescente,3525
Bubble Sort,Cenário 1 - Vetor ordenado crescente,554318
Merge Sort,Cenário 1 - Vetor ordenado crescente,2455
Quick Sort,Cenário 1 - Vetor ordenado crescente,1732
Shell Sort,Cenário 1 - Vetor ordenado crescente,3551
Bubble Sort,Cenário 1 - Vetor ordenado crescente,554939
Merge Sort,Cenário 1 - Vetor ordenado crescente,2464
Quick Sort,Cenário 1 - Vetor ordenado crescente,1742
Shell Sort,Cenário 1 - Vetor ordenado crescente,3536
Bubble Sort,Cenário 1 - Vetor ordenado crescente,554015
Merge Sort,Cenário 1 - Vetor ordenado crescente,2483
Quick Sort,Cenário 1 - Vetor ordenado crescente,1738
Shell Sort,Cenário 1 - Vetor ordenado crescente,3524
Bubble Sort,Cenário 1 - Vetor ordenado crescente,562078
Merge Sort,Cenário 1 - Vetor ordenado crescente,2475
Quick Sort,Cenário 1 - Vetor ordenado crescente,1730
Shell Sort,Cenário 1 - Vetor ordenado crescente,3511
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,556103
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2500
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1770
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3576
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,554810
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2466
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1738
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3577
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,558346
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2470
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1718
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3573
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,553121
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2468
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1752
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3600
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,555312
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2461
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1726
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3610
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,560397
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2453
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1737
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3588
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,555906
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2458
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1732
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3573
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,558169
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2469
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1722
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3599
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,553644
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2465
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1723
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3596
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,553670
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2462
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1726
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3586
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,564329
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2460
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1721
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3577
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,551748
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2457
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1721
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3598
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,552438
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2458
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1727
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3587
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,554224
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2453
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1725
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3577
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,555013
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2464
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1728
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3599
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,553635
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2468
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1729
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3581
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,557346
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2664
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1749
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3557
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,558107
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2456
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1726
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3583
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,551504
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2476
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1732
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3577
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,555368
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2470
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1724
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3584
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,554087
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2458
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1716
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3586
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,558175
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2455
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1719
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3590
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,552346
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2456
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1718
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3576
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,557330
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2500
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1724
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3577
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,552782
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2457
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1725
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3589
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,557649
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2464
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1722
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3587
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,561800
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2476
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1727
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3589
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,554319
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2460
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1725
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3583
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,558272
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2467
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1726
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3589
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,556228
Merge Sort,Cenário 2 - Vetor ordenado decrescente,2463
Quick Sort,Cenário 2 - Vetor ordenado decrescente,1759
Shell Sort,Cenário 2 - Vetor ordenado decrescente,3597
Bubble Sort,Cenário 3 - Vetor aleatório,554725
Merge Sort,Cenário 3 - Vetor aleatório,2462
Quick Sort,Cenário 3 - Vetor aleatório,1717
Shell Sort,Cenário 3 - Vetor aleatório,3529
Bubble Sort,Cenário 3 - Vetor aleatório,556371
Merge Sort,Cenário 3 - Vetor aleatório,2462
Quick Sort,Cenário 3 - Vetor aleatório,1704
Shell Sort,Cenário 3 - Vetor aleatório,3531
Bubble Sort,Cenário 3 - Vetor aleatório,560321
Merge Sort,Cenário 3 - Vetor aleatório,2450
Quick Sort,Cenário 3 - Vetor aleatório,1753
Shell Sort,Cenário 3 - Vetor aleatório,3557
Bubble Sort,Cenário 3 - Vetor aleatório,557798
Merge Sort,Cenário 3 - Vetor aleatório,2457
Quick Sort,Cenário 3 - Vetor aleatório,1702
Shell Sort,Cenário 3 - Vetor aleatório,3547
Bubble Sort,Cenário 3 - Vetor aleatório,556987
Merge Sort,Cenário 3 - Vetor aleatório,2457
Quick Sort,Cenário 3 - Vetor aleatório,1704
Shell Sort,Cenário 3 - Vetor aleatório,3552
Bubble Sort,Cenário 3 - Vetor aleatório,556431
Merge Sort,Cenário 3 - Vetor aleatório,2461
Quick Sort,Cenário 3 - Vetor aleatório,1700
Shell Sort,Cenário 3 - Vetor aleatório,3546
Bubble Sort,Cenário 3 - Vetor aleatório,555272
Merge Sort,Cenário 3 - Vetor aleatório,2455
Quick Sort,Cenário 3 - Vetor aleatório,1699
Shell Sort,Cenário 3 - Vetor aleatório,3553
Bubble Sort,Cenário 3 - Vetor aleatório,563950
Merge Sort,Cenário 3 - Vetor aleatório,2828
Quick Sort,Cenário 3 - Vetor aleatório,1839
Shell Sort,Cenário 3 - Vetor aleatório,3687
Bubble Sort,Cenário 3 - Vetor aleatório,559678
Merge Sort,Cenário 3 - Vetor aleatório,2465
Quick Sort,Cenário 3 - Vetor aleatório,1707
Shell Sort,Cenário 3 - Vetor aleatório,3566
Bubble Sort,Cenário 3 - Vetor aleatório,552159
Merge Sort,Cenário 3 - Vetor aleatório,2457
Quick Sort,Cenário 3 - Vetor aleatório,1703
Shell Sort,Cenário 3 - Vetor aleatório,3555
Bubble Sort,Cenário 3 - Vetor aleatório,553703
Merge Sort,Cenário 3 - Vetor aleatório,2463
Quick Sort,Cenário 3 - Vetor aleatório,1717
Shell Sort,Cenário 3 - Vetor aleatório,3533
Bubble Sort,Cenário 3 - Vetor aleatório,555447
Merge Sort,Cenário 3 - Vetor aleatório,2459
Quick Sort,Cenário 3 - Vetor aleatório,1711
Shell Sort,Cenário 3 - Vetor aleatório,3543
Bubble Sort,Cenário 3 - Vetor aleatório,556119
Merge Sort,Cenário 3 - Vetor aleatório,2478
Quick Sort,Cenário 3 - Vetor aleatório,1719
Shell Sort,Cenário 3 - Vetor aleatório,3571
Bubble Sort,Cenário 3 - Vetor aleatório,552009
Merge Sort,Cenário 3 - Vetor aleatório,2475
Quick Sort,Cenário 3 - Vetor aleatório,1704
Shell Sort,Cenário 3 - Vetor aleatório,3528
Bubble Sort,Cenário 3 - Vetor aleatório,550660
Merge Sort,Cenário 3 - Vetor aleatório,2478
Quick Sort,Cenário 3 - Vetor aleatório,1709
Shell Sort,Cenário 3 - Vetor aleatório,3555
Bubble Sort,Cenário 3 - Vetor aleatório,557767
Merge Sort,Cenário 3 - Vetor aleatório,2453
Quick Sort,Cenário 3 - Vetor aleatório,1698
Shell Sort,Cenário 3 - Vetor aleatório,3534
Bubble Sort,Cenário 3 - Vetor aleatório,559407
Merge Sort,Cenário 3 - Vetor aleatório,2454
Quick Sort,Cenário 3 - Vetor aleatório,1702
Shell Sort,Cenário 3 - Vetor aleatório,3531
Bubble Sort,Cenário 3 - Vetor aleatório,551117
Merge Sort,Cenário 3 - Vetor aleatório,2466
Quick Sort,Cenário 3 - Vetor aleatório,1702
Shell Sort,Cenário 3 - Vetor aleatório,3548
Bubble Sort,Cenário 3 - Vetor aleatório,552993
Merge Sort,Cenário 3 - Vetor aleatório,2455
Quick Sort,Cenário 3 - Vetor aleatório,1702
Shell Sort,Cenário 3 - Vetor aleatório,3541
Bubble Sort,Cenário 3 - Vetor aleatório,556394
Merge Sort,Cenário 3 - Vetor aleatório,2456
Quick Sort,Cenário 3 - Vetor aleatório,1703
Shell Sort,Cenário 3 - Vetor aleatório,3545
Bubble Sort,Cenário 3 - Vetor aleatório,556215
Merge Sort,Cenário 3 - Vetor aleatório,2453
Quick Sort,Cenário 3 - Vetor aleatório,1700
Shell Sort,Cenário 3 - Vetor aleatório,3546
Bubble Sort,Cenário 3 - Vetor aleatório,556896
Merge Sort,Cenário 3 - Vetor aleatório,2451
Quick Sort,Cenário 3 - Vetor aleatório,1709
Shell Sort,Cenário 3 - Vetor aleatório,3551
Bubble Sort,Cenário 3 - Vetor aleatório,552715
Merge Sort,Cenário 3 - Vetor aleatório,2592
Quick Sort,Cenário 3 - Vetor aleatório,1699
Shell Sort,Cenário 3 - Vetor aleatório,3528
Bubble Sort,Cenário 3 - Vetor aleatório,557190
Merge Sort,Cenário 3 - Vetor aleatório,2450
Quick Sort,Cenário 3 - Vetor aleatório,1696
Shell Sort,Cenário 3 - Vetor aleatório,3523
Bubble Sort,Cenário 3 - Vetor aleatório,564884
Merge Sort,Cenário 3 - Vetor aleatório,2464
Quick Sort,Cenário 3 - Vetor aleatório,1704
Shell Sort,Cenário 3 - Vetor aleatório,3535
Bubble Sort,Cenário 3 - Vetor aleatório,558833
Merge Sort,Cenário 3 - Vetor aleatório,2459
Quick Sort,Cenário 3 - Vetor aleatório,1705
Shell Sort,Cenário 3 - Vetor aleatório,3556
Bubble Sort,Cenário 3 - Vetor aleatório,552594
Merge Sort,Cenário 3 - Vetor aleatório,2483
Quick Sort,Cenário 3 - Vetor aleatório,1723
Shell Sort,Cenário 3 - Vetor aleatório,3542
Bubble Sort,Cenário 3 - Vetor aleatório,555838
Merge Sort,Cenário 3 - Vetor aleatório,2475
Quick Sort,Cenário 3 - Vetor aleatório,1727
Shell Sort,Cenário 3 - Vetor aleatório,3518
Bubble Sort,Cenário 3 - Vetor aleatório,562862
Merge Sort,Cenário 3 - Vetor aleatório,2511
Quick Sort,Cenário 3 - Vetor aleatório,1816
Shell Sort,Cenário 3 - Vetor aleatório,3682
Bubble Sort,Cenário 3 - Vetor aleatório,557411
Merge Sort,Cenário 3 - Vetor aleatório,2456
Quick Sort,Cenário 3 - Vetor aleatório,1710
Shell Sort,Cenário 3 - Vetor aleatório,3531
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,604133
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2882
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1751
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3700
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,552145
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2464
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1722
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3489
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,554852
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2460
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1720
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3504
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,557257
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2453
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1726
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3492
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,554100
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2458
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1719
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3499
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,559083
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2462
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1718
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3517
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,553909
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2559
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1848
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3637
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,559100
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2461
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1732
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3571
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,556433
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2490
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1736
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3493
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,558412
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2464
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1719
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3482
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,552395
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2478
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1732
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3493
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,552439
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2456
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1725
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3512
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,559609
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2469
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1723
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3484
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,551436
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2456
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1722
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3511
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,557459
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2518
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1773
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3487
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,559199
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2479
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1723
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3485
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,551372
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2464
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1723
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3494
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,559778
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2463
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1730
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3487
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,558791
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2470
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1722
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3493
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,551832
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2478
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1722
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3494
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,557713
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2464
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1732
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3516
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,552918
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2484
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1755
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3508
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,556644
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2467
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1723
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3498
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,555960
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2456
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1834
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3480
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,558478
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2457
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1742
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3485
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,551960
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2459
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1718
Shell Sort,Cenário 4 - Vetor de strings aleatórias,3485
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,551910
Merge Sort,Cenário 4 - Vetor de strings aleatórias,2462
